"","logFC","logCPM","LR","PValue","FDR"
"CYLD",-1.48361419823008,5.1506288965653,126.451274523391,2.44942411681992e-29,2.92216297136616e-25
"USP54",-1.31669893703405,4.74528683326536,124.171031512679,7.72864283597645e-29,4.61013545165995e-25
"BAP1",-1.36644942521892,4.94738258000314,110.031127477495,9.64640329350171e-26,3.83605304304918e-22
"DRC3",-1.12212238451697,0.813036793847291,18.03989017113,2.16324332316465e-05,0.0645187321133855
"PBX2",-0.484746583548274,4.17453033087028,15.0674390489905,0.000103737357003719,0.247517333810875
"KIAA1147",-1.09657190491028,1.20624418480366,13.7365401638565,0.000210322552176524,0.364541523310996
"THAP8",-1.02471147725495,0.959596870691046,13.7048888512453,0.000213896954164038,0.364541523310996
"USP46-AS1",-1.16163133513171,0.0510498197396628,13.1352178046677,0.000289796584608623,0.432159156797609
"DUSP14",-1.85952448496443,0.301022208669967,12.7549547451468,0.000355067340936164,0.47066148637427
"ZNF337",-1.16454640290171,0.232109165427749,11.5392668698337,0.000681415056475226,0.812928162374944
"ZNF286B",0.740532552228969,1.7447575188835,11.2155891354605,0.000811130554291334,0.866050652228022
"ZBTB37",-0.57155409420753,3.45557907628339,10.5617417727114,0.00115452356136338,0.866050652228022
"UCP3",1.14375061637812,0.619573123993886,10.5354946053131,0.00117103539013134,0.866050652228022
"MYRF",-1.27891223140702,-0.0325912040092973,10.5223711911212,0.00117938059383257,0.866050652228022
"LRP1",-0.33258368605421,7.01952783622857,10.4359531572635,0.00123585753511021,0.866050652228022
"GUSBP2",-0.925995596461549,0.469596178193277,10.3895215706626,0.0012673245712878,0.866050652228022
"GATAD2B",-0.396837611679972,4.34436453389868,10.2509949597547,0.00136610899264515,0.866050652228022
"AFAP1",-0.429146198070736,5.74969022103767,10.231873175298,0.00138034410734637,0.866050652228022
"EML1",-0.547472596647143,2.77041063849364,10.1790306038915,0.00142046842316015,0.866050652228022
"PEPD",0.27738877659246,5.60486697221265,10.1386975950606,0.00145188709510146,0.866050652228022
"ESPNL",-0.847716649469283,1.30469148630402,9.89977557938736,0.00165298928792102,0.894872607906964
"ATXN7L1",-0.46473793165691,3.23771983683563,9.88280923739283,0.00166830039211465,0.894872607906964
"CDH5",-1.38192570057837,-0.526698332351016,9.82107326867029,0.00172523637735626,0.894872607906964
"TNRC6C",-0.53187036342436,2.70321575392003,9.6114162729674,0.00193371452341641,0.93821351787676
"DOPEY2",-0.52283467610246,3.12287885836709,9.51596824895192,0.00203691602287733,0.93821351787676
"CCDC171",0.759590041553451,1.47780528336742,9.4382444761797,0.00212506810437197,0.93821351787676
"MAPKAPK5-AS1",0.303953202269033,5.08748087715891,9.43158555050972,0.00213279810844571,0.93821351787676
"ARHGEF37",-0.769012813222309,1.46544587892091,9.37303195675875,0.00220200993298821,0.93821351787676
"ARID1A",-0.307058597725556,6.94043348760064,9.00435961118529,0.00269336347752414,0.99083117613231
"TNS1",-0.364786947132835,5.17497319557504,8.9483719923233,0.00277716976310644,0.99083117613231
"TAF9",0.928373298332123,3.26197722894611,8.90815147827226,0.00283900500396892,0.99083117613231
"LOC440434",-0.632796981907037,2.11572553829747,8.80882844167048,0.00299776459136372,0.99083117613231
"EPPK1",-0.390641172963132,4.70692598436135,8.77988084167095,0.00304571094616343,0.99083117613231
